iter	RMSE
125	8.3169465
126	8.315953612
127	8.311356764
128	8.308564024
129	8.307687686
130	8.306235619
131	8.303402352
132	8.301374264
133	8.298214904
134	8.294507765
135	8.291869499
136	8.291138547
137	8.289500969
138	8.285318542
139	8.283289011
140	8.281000399
141	8.279129555
142	8.275314586
143	8.270925816
144	8.270005748
145	8.265874191
146	8.265094587
147	8.262968214
148	8.259981875
149	8.256447778
150	8.253069254
151	8.249068081
152	8.248024524
153	8.244671091
154	8.240519989
155	8.237552424
156	8.234111146
157	8.231973734
158	8.228615343
159	8.226144265
160	8.223601375
161	8.219595039
162	8.218074006
163	8.21532912
164	8.214145711
165	8.212536227
166	8.210172899
167	8.207227798
168	8.204168018
169	8.202527285
170	8.19635749
171	8.194258753
172	8.192304754
173	8.189588115
174	8.186858071
175	8.185440043
176	8.183718447
177	8.18110655
178	8.179325011
179	8.175189751
180	8.173096669
181	8.171572074
182	8.169538039
183	8.166618355
184	8.162607118
185	8.161577763
186	8.159670797
187	8.158780926
188	8.154580374
189	8.152665675
190	8.149790295
191	8.147386138
192	8.143022521
193	8.141420707
194	8.139464739
195	8.137244433
196	8.135757186
197	8.133312229
198	8.128851602
199	8.126536687
200	8.125292736
201	8.124236059
202	8.117726593
203	8.115483058
204	8.113295254
205	8.110884297
206	8.104956104
207	8.103614848
208	8.100110643
209	8.097459562
210	8.093038604
211	8.090386953
212	8.087724073
213	8.081065693
214	8.079589176
215	8.075753803
216	8.072671289
217	8.068518305
218	8.066028259
219	8.064624272
220	8.059336954
221	8.058188271
222	8.053998833
223	8.048702039
224	8.040352122
225	8.036535587
226	8.035174666
227	8.027529411
228	8.021759108
229	8.02061651
230	8.013623788
231	8.008329288
232	8.001045293
233	7.996843483
234	7.995726517
235	7.994848444
236	7.990707058
237	7.987273965
238	7.984866342
239	7.980127728
240	7.976635918
241	7.970837434
242	7.968035625
243	7.964788169
244	7.963726365
245	7.962360894
246	7.957838236
247	7.956893096
248	7.956037642
249	7.953714724
250	7.946713982
251	7.941621726
252	7.940669998
253	7.939071043
254	7.934955977
255	7.934079274
256	7.928272828
257	7.927154209
258	7.92112417
259	7.914202032
260	7.908799867
261	7.907725039
262	7.904273141
263	7.901015202
264	7.900059245
265	7.896762399
266	7.893025346
267	7.886231363
268	7.880060175
269	7.875727707
270	7.874974692
271	7.871498342
272	7.865721347
273	7.862963502
274	7.861788286
275	7.856918162
276	7.853129765
277	7.851233902
278	7.847741622
279	7.845124632
280	7.84148078
281	7.835964802
282	7.832726212
283	7.828970301
284	7.828077629
285	7.822430102
286	7.821557252
287	7.819857808
288	7.814291152
289	7.811102156
290	7.808400866
291	7.807552247
292	7.80484708
293	7.801416632
294	7.797987422
295	7.79424327
296	7.789585402
297	7.784501372
298	7.783312511
299	7.780446507
300	7.775889164
301	7.770926591
302	7.770090678
303	7.767981107
304	7.764290489
305	7.759911011
306	7.755124227
307	7.749259099
308	7.745933172
309	7.7436712
310	7.742869469
311	7.73925995
312	7.734453744
313	7.729836526
314	7.728944591
315	7.726158529
316	7.722333435
317	7.718060944
318	7.712256771
319	7.708771837
320	7.703924216
321	7.702850719
322	7.699310766
323	7.694734155
324	7.689214235
325	7.688336686
326	7.685398744
327	7.683428729
328	7.682365526
329	7.675860474
330	7.672011109
331	7.668850083
332	7.66354847
333	7.660238016
334	7.655889585
335	7.65200294
336	7.649176888
337	7.646251164
338	7.642647063
339	7.639097466
340	7.636610805
341	7.634203974
342	7.630979492
343	7.629493385
344	7.626129686
345	7.625452394
346	7.623084833
347	7.620365012
348	7.616060678
349	7.612808457
350	7.611044268
351	7.606680208
352	7.601426592
353	7.599402989
354	7.598663985
355	7.59736013
356	7.596521784
357	7.593238238
358	7.59174048
359	7.588276665
360	7.584944418
361	7.581596932
362	7.580843089
363	7.579726394
364	7.57713574
365	7.574567556
366	7.572166203
367	7.571392814
368	7.568613978
369	7.566367456
370	7.561265332
371	7.556901616
372	7.55293129
373	7.549553199
374	7.547075758
375	7.546464243
376	7.543942529
377	7.54328823
378	7.542507741
379	7.538651492
380	7.535126954
381	7.532158299
382	7.52810799
383	7.525358632
384	7.522929444
385	7.520304884
386	7.51930517
387	7.516664059
388	7.515369903
389	7.512689569
390	7.509841906
391	7.506994453
392	7.502458964
393	7.501488423
394	7.499331511
395	7.498791265
396	7.498204726
397	7.4976214
398	7.495537791
399	7.491891192
400	7.489706085
401	7.487111325
402	7.485458533
403	7.482561019
404	7.479446313
405	7.478951179
406	7.475720061
407	7.473239862
408	7.471252088
409	7.467511711
410	7.462979405
411	7.460096082
412	7.459337637
413	7.457695935
414	7.453863834
415	7.450220291
416	7.447750111
417	7.443204287
418	7.438101865
419	7.437307943
420	7.434421559
421	7.431060326
422	7.429575482
423	7.427977672
424	7.425328348
425	7.421820326
426	7.417880111
427	7.41606949
428	7.414130834
429	7.413613759
430	7.412621214
431	7.409355675
432	7.40415169
433	7.401219791
434	7.399345362
435	7.398423237
436	7.396840247
437	7.39463619
438	7.390391433
439	7.388608831
440	7.388107875
441	7.387583942
442	7.385326836
443	7.38455104
444	7.382463855
445	7.37838379
446	7.374721602
447	7.372197699
448	7.368956372
449	7.366908993
450	7.364249686
451	7.362148022
452	7.360034305
453	7.357586993
454	7.355268011
455	7.352942367
456	7.350749443
457	7.348500475
458	7.345116871
459	7.343037207
460	7.342600438
461	7.339713159
462	7.337622533
463	7.333417293
464	7.331330974
465	7.330413097
466	7.32860398
467	7.326511561
468	7.3236152
469	7.321329201
470	7.319187812
471	7.314430317
472	7.311868734
473	7.308836356
474	7.305016083
475	7.302808683
476	7.300570528
477	7.297008911
478	7.295563071
479	7.292206243
480	7.291364159
481	7.289556479
482	7.285711203
483	7.282689211
484	7.278220509
485	7.275906831
486	7.272951939
487	7.271018098
488	7.268787169
489	7.26457299
490	7.26079497
491	7.2598403
492	7.2573771
493	7.254654714
494	7.25044264
495	7.24821292
496	7.247209365
497	7.24606809
498	7.243731246
499	7.240636046
500	7.239346943
501	7.23640506
502	7.23356675
503	7.232025058
504	7.227956495
505	7.226676262
506	7.225953908
507	7.223922154
508	7.22341429
509	7.219639759
510	7.216136966
511	7.21409872
512	7.21056795
513	7.209105719
514	7.205467275
515	7.204429832
516	7.202709947
517	7.198541576
518	7.196542494
519	7.193293027
520	7.191587889
521	7.190708541
522	7.188653629
523	7.187156709
524	7.185177602
525	7.182445314
526	7.181053965
527	7.180241933
528	7.17795972
529	7.175694954
530	7.173527696
531	7.171590611
532	7.169641381
533	7.167500677
534	7.166609837
535	7.163125545
536	7.160849976
537	7.160460588
538	7.159707542
539	7.158102349
540	7.154749061
541	7.152743856
542	7.152064732
543	7.148797635
544	7.146228768
545	7.144097498
546	7.141295299
547	7.140479968
548	7.138007091
549	7.136954172
550	7.135369775
551	7.133604157
552	7.130612128
553	7.128855892
554	7.126791934
555	7.126234924
556	7.12379792
557	7.120343664
558	7.118250684
559	7.117541133
560	7.116905124
561	7.113008362
562	7.112200168
563	7.111672628
564	7.108925734
565	7.107089403
566	7.104473495
567	7.102845962
568	7.10092745
569	7.098833492
570	7.096969095
571	7.09384149
572	7.093340077
573	7.092822899
574	7.090296565
575	7.089015914
576	7.086003952
577	7.083282834
578	7.079837306
579	7.079364512
580	7.075156805
581	7.07381816
582	7.073146499
583	7.071144652
584	7.067678789
585	7.065115565
586	7.061359364
587	7.058145272
588	7.057306467
589	7.055388413
590	7.052160282
591	7.049730662
592	7.04641835
593	7.045645597
594	7.044887817
595	7.042600569
596	7.040094172
597	7.038404619
598	7.0356556
599	7.034690579
600	7.032325796
601	7.03076619
602	7.030215866
603	7.027918009
604	7.025915821
605	7.023893857
606	7.023203767
607	7.020321129
608	7.017710153
609	7.016699461
610	7.016283018
611	7.015389877
612	7.014922952
613	7.011300157
614	7.00772699
615	7.007230272
616	7.006787745
617	7.004006797
618	7.001722067
619	6.99976824
620	6.998290549
621	6.995259615
622	6.99259207
623	6.989977735
624	6.989563033
625	6.987194524
626	6.984928072
627	6.984517932
628	6.98257351
629	6.980374435
630	6.97909801
631	6.977683317
632	6.976672835
633	6.975233429
634	6.973415528
635	6.970934065
636	6.968358056
637	6.966367208
638	6.963516843
639	6.961618959
640	6.959881106
641	6.95747586
642	6.956170215
643	6.953297832
644	6.950833702
645	6.949359949
646	6.947936299
647	6.945576973
648	6.941266652
649	6.939470065
650	6.938760134
651	6.938280375
652	6.936547066
653	6.935811323
654	6.932525277
655	6.930987588
656	6.930423715
657	6.929181723
658	6.927270457
659	6.92534984
660	6.921929823
661	6.920423662
662	6.918383562
663	6.916769673
664	6.915436815
665	6.911601443
666	6.909285204
667	6.906999438
668	6.904646566
669	6.902032446
670	6.899438153
671	6.896774634
672	6.894483614
673	6.891031361
674	6.890688517
675	6.890129864
676	6.8895431
677	6.886028128
678	6.885447445
679	6.884270894
680	6.882862538
681	6.880645963
682	6.877972742
683	6.875485784
684	6.874208159
685	6.873551172
686	6.872625203
687	6.872170935
688	6.870514438
689	6.870023199
690	6.869734254
691	6.867402209
692	6.865179496
693	6.863855449
694	6.863423591
695	6.863062654
696	6.860565043
697	6.85986026
698	6.857849251
699	6.855614265
700	6.853494548
701	6.852038574
702	6.850857847
703	6.848664223
704	6.845950997
705	6.842481844
706	6.841963484
707	6.840750501
708	6.838587289
709	6.837097527
710	6.834715869
711	6.831931343
712	6.831348266
713	6.830992156
714	6.828340974
715	6.826512323
716	6.8259869
717	6.824836123
718	6.823457094
719	6.82190558
720	6.820196008
721	6.819114535
722	6.818452377
723	6.816561844
724	6.815444459
725	6.813771874
726	6.812680862
727	6.809875996
728	6.807270441
729	6.805502934
730	6.803180997
731	6.802418026
732	6.799403146
733	6.79836912
734	6.795278022
735	6.793041256
736	6.790098668
737	6.787295424
738	6.784460831
739	6.78077582
740	6.779749154
741	6.77887338
742	6.777454453
743	6.775965662
744	6.774577285
745	6.773274154
746	6.771915911
747	6.771584575
748	6.769995506
749	6.768747091
750	6.767213688
751	6.765413481
752	6.764062925
753	6.763794775
754	6.762715798
755	6.760698638
756	6.759157093
757	6.758675096
758	6.758172936
759	6.756732388
760	6.754293549
761	6.753969419
762	6.753676768
763	6.750746133
764	6.748697463
765	6.747750411
766	6.74665824
767	6.745221096
768	6.744072527
769	6.742231917
770	6.739794436
771	6.739072551
772	6.73722734
773	6.735642131
774	6.734731396
775	6.731941082
776	6.730389376
777	6.728146234
778	6.72723762
779	6.725015095
780	6.723806954
781	6.720793598
782	6.720161058
783	6.717781569
784	6.713994949
785	6.71247697
786	6.712136335
787	6.710741722
788	6.708589087
789	6.706480072
790	6.706129208
791	6.704737027
792	6.703528648
793	6.702200583
794	6.701347915
795	6.699411565
796	6.697746448
797	6.695774129
798	6.694260812
799	6.692922434
800	6.691458249
801	6.687621678
802	6.686456968
803	6.685158583
804	6.68479603
805	6.68281489
806	6.682457237
807	6.679327186
808	6.677557699
809	6.676999852
810	6.67486617
811	6.672561793
812	6.670499977
813	6.668757643
814	6.667655761
815	6.667157542
816	6.66579335
817	6.664746557
818	6.664243599
819	6.662485971
820	6.660253533
821	6.656997175
822	6.656690955
823	6.653182697
824	6.650858212
825	6.648689783
826	6.646563498
827	6.644331698
828	6.64326772
829	6.641041821
830	6.639227521
831	6.638126729
832	6.633748173
833	6.632423132
834	6.630915005
835	6.630366935
836	6.629040179
837	6.62750852
838	6.625794549
839	6.625097684
840	6.622953234
841	6.622011446
842	6.619169326
843	6.618819363
844	6.617741495
845	6.615536282
846	6.614383959
847	6.613600462
848	6.610246296
849	6.60823734
850	6.605940932
851	6.604266867
852	6.602951221
853	6.601898775
854	6.599993485
855	6.598071543
856	6.597650924
857	6.596162534
858	6.595794432
859	6.594518022
860	6.593115867
861	6.59011116
862	6.588192714
863	6.586298247
864	6.58519515
865	6.584860819
866	6.583892919
867	6.582235656
868	6.580573469
869	6.579431255
870	6.577291613
871	6.576475666
872	6.576059013
873	6.574692684
874	6.572958185
875	6.571576498
876	6.569902402
877	6.569467016
878	6.569068259
879	6.568212817
880	6.567185162
881	6.56403884
882	6.562778142
883	6.561637403
884	6.561287452
885	6.560815267
886	6.559232721
887	6.55816365
888	6.556488692
889	6.556239128
890	6.554127251
891	6.551963394
892	6.550629405
893	6.548831923
894	6.546305545
895	6.545936929
896	6.544313669
897	6.543216198
898	6.541537091
899	6.541360747
900	6.539455351
901	6.538049306
902	6.536737096
903	6.535332117
904	6.534055118
905	6.532767002
906	6.532487214
907	6.531192863
908	6.529291765
909	6.527664674
910	6.526638027
911	6.525416251
912	6.524022941
913	6.523673656
914	6.521371891
915	6.520898646
916	6.519543272
917	6.519172536
918	6.516941587
919	6.515680134
920	6.515381776
921	6.514400193
922	6.512839279
923	6.510938667
924	6.509612199
925	6.507933243
926	6.506525541
927	6.505171485
928	6.502272289
929	6.501221152
930	6.499575297
931	6.496556646
932	6.49489394
933	6.49326823
934	6.491355428
935	6.489873263
936	6.488543208
937	6.487534466
938	6.486387175
939	6.485974407
940	6.484695331
941	6.482361575
942	6.481007724
943	6.478867517
944	6.475901518
945	6.475313603
946	6.474834547
947	6.473624129
948	6.473314272
949	6.472419006
950	6.469674023
951	6.467896866
952	6.466450806
953	6.465103566
954	6.463722876
955	6.463325926
956	6.462369073
957	6.46114819
958	6.459429962
959	6.458508606
960	6.458111381
961	6.457760573
962	6.45579409
963	6.454650395
964	6.453280873
965	6.45247335
966	6.452020846
967	6.450705653
968	6.449360802
969	6.447274062
970	6.446343874
971	6.444589275
972	6.44383502
973	6.443039399
974	6.441183045
975	6.439777554
976	6.439010857
977	6.437251716
978	6.436624533
979	6.434097484
980	6.432655857
981	6.431580871
982	6.431100032
983	6.430866443
984	6.429476276
985	6.427658595
986	6.425272981
987	6.424392796
988	6.421060554
989	6.420024349
990	6.419408464
991	6.418626045
992	6.417708613
993	6.416506603
994	6.415697366
995	6.414628175
996	6.412611592
997	6.411633289
998	6.410398195
999	6.408899519
